max_iter,batch_size,solver,accuracy
1000,64,adam,0.8031150159744409
1000,64,lbfgs,0.8210862619808307
1000,64,sgd,0.5666932907348243
1000,128,adam,0.8023162939297125
1000,128,lbfgs,0.8210862619808307
1000,128,sgd,0.5870607028753994
1000,256,adam,0.8166932907348243
1000,256,lbfgs,0.8210862619808307
1000,256,sgd,0.5623003194888179
2000,64,adam,0.8031150159744409
2000,64,lbfgs,0.8346645367412141
2000,64,sgd,0.5666932907348243
2000,128,adam,0.8023162939297125
2000,128,lbfgs,0.8346645367412141
2000,128,sgd,0.5870607028753994
2000,256,adam,0.8166932907348243
2000,256,lbfgs,0.8346645367412141
2000,256,sgd,0.5623003194888179
3000,64,adam,0.8031150159744409
3000,64,lbfgs,0.8342651757188498
3000,64,sgd,0.5666932907348243
3000,128,adam,0.8023162939297125
3000,128,lbfgs,0.8342651757188498
3000,128,sgd,0.5870607028753994
3000,256,adam,0.8166932907348243
3000,256,lbfgs,0.8342651757188498
3000,256,sgd,0.5623003194888179
